,Data,Intervalo,Vazao
0, 12-12-2022,00:00:00 a 06:00:00,
1, 12-12-2022,06:00:00 a 12:00:00,
2, 12-12-2022,12:00:00 a 18:00:00,64435069.0
3, 12-12-2022,18:00:00 a 23:59:59,64435069.0
4, 13-12-2022,00:00:00 a 06:00:00,770519924.0
5, 13-12-2022,06:00:00 a 12:00:00,417477496.5
6, 13-12-2022,12:00:00 a 18:00:00,417477496.5
7, 13-12-2022,18:00:00 a 23:59:59,776733371.0
8, 14-12-2022,00:00:00 a 06:00:00,682990250.0
9, 14-12-2022,06:00:00 a 12:00:00,815953004.0
10, 14-12-2022,12:00:00 a 18:00:00,770234466.0
11, 14-12-2022,18:00:00 a 23:59:59,737516703.0
12, 15-12-2022,00:00:00 a 06:00:00,695471886.5
13, 15-12-2022,06:00:00 a 12:00:00,737516703.0
14, 15-12-2022,12:00:00 a 18:00:00,719007592.0
15, 15-12-2022,18:00:00 a 23:59:59,728262147.5
16, 16-12-2022,00:00:00 a 06:00:00,720030703.5
17, 16-12-2022,06:00:00 a 12:00:00,385352065.0
18, 16-12-2022,12:00:00 a 18:00:00,745068061.0
19, 16-12-2022,18:00:00 a 23:59:59,562407488.5
20, 17-12-2022,00:00:00 a 06:00:00,641219096.0
21, 17-12-2022,06:00:00 a 12:00:00,653315342.0
22, 17-12-2022,12:00:00 a 18:00:00,732836989.0
23, 17-12-2022,18:00:00 a 23:59:59,763706499.0
24, 18-12-2022,00:00:00 a 06:00:00,693076165.5
25, 18-12-2022,06:00:00 a 12:00:00,689308463.0
26, 18-12-2022,12:00:00 a 18:00:00,6920606.0
27, 18-12-2022,18:00:00 a 23:59:59,667759468.5
28, 19-12-2022,00:00:00 a 06:00:00,702494412.5
29, 19-12-2022,06:00:00 a 12:00:00,678533965.75
30, 19-12-2022,12:00:00 a 18:00:00,722076850.5
31, 19-12-2022,18:00:00 a 23:59:59,649488558.0
32, 20-12-2022,00:00:00 a 06:00:00,444178459.0
33, 20-12-2022,06:00:00 a 12:00:00,180460137.0
34, 20-12-2022,12:00:00 a 18:00:00,36176123.0
35, 20-12-2022,18:00:00 a 23:59:59,421422989.0
36, 21-12-2022,00:00:00 a 06:00:00,832203840.0
37, 21-12-2022,06:00:00 a 12:00:00,696255021.0
38, 21-12-2022,12:00:00 a 18:00:00,395156300.0
39, 21-12-2022,18:00:00 a 23:59:59,580622787.5
40, 22-12-2022,00:00:00 a 06:00:00,580622787.5
41, 22-12-2022,06:00:00 a 12:00:00,821405295.0
42, 22-12-2022,12:00:00 a 18:00:00,127139782.0
43, 22-12-2022,18:00:00 a 23:59:59,745644055.0
44, 23-12-2022,00:00:00 a 06:00:00,764360048.0
45, 23-12-2022,06:00:00 a 12:00:00,796077066.5
46, 23-12-2022,12:00:00 a 18:00:00,838336218.0
47, 23-12-2022,18:00:00 a 23:59:59,724224310.5
48, 24-12-2022,00:00:00 a 06:00:00,764360048.0
49, 24-12-2022,06:00:00 a 12:00:00,759423839.0
50, 24-12-2022,12:00:00 a 18:00:00,757598205.0
51, 24-12-2022,18:00:00 a 23:59:59,724278306.0
52, 25-12-2022,00:00:00 a 06:00:00,740938255.5
53, 25-12-2022,06:00:00 a 12:00:00,407268547.0
54, 25-12-2022,12:00:00 a 18:00:00,647577524.0
55, 25-12-2022,18:00:00 a 23:59:59,761790133.0
56, 26-12-2022,00:00:00 a 06:00:00,685927915.0
57, 26-12-2022,06:00:00 a 12:00:00,733925363.5
58, 26-12-2022,12:00:00 a 18:00:00,738672908.0
59, 26-12-2022,18:00:00 a 23:59:59,736299135.75
60, 3-1-2023,00:00:00 a 06:00:00,738672908.0
61, 3-1-2023,06:00:00 a 12:00:00,736299135.75
62, 3-1-2023,12:00:00 a 18:00:00,736299135.75
63, 3-1-2023,18:00:00 a 23:59:59,16043227.0
64, 4-1-2023,00:00:00 a 06:00:00,16043227.0
65, 4-1-2023,06:00:00 a 12:00:00,831521641.0
66, 4-1-2023,12:00:00 a 18:00:00,713715181.0
67, 4-1-2023,18:00:00 a 23:59:59,684275451.5
68, 5-1-2023,00:00:00 a 06:00:00,704802650.5
69, 5-1-2023,06:00:00 a 12:00:00,709258915.75
70, 5-1-2023,12:00:00 a 18:00:00,779077022.0
71, 5-1-2023,18:00:00 a 23:59:59,771436476.0
72, 6-1-2023,00:00:00 a 06:00:00,756235695.0
73, 6-1-2023,06:00:00 a 12:00:00,708941879.0
74, 6-1-2023,12:00:00 a 18:00:00,763836085.5
75, 6-1-2023,18:00:00 a 23:59:59,738620812.0
76, 7-1-2023,00:00:00 a 06:00:00,731749603.0
77, 7-1-2023,06:00:00 a 12:00:00,720952213.0
78, 7-1-2023,12:00:00 a 18:00:00,598105537.0
79, 7-1-2023,18:00:00 a 23:59:59,659765208.5
80, 8-1-2023,00:00:00 a 06:00:00,720952213.0
81, 8-1-2023,06:00:00 a 12:00:00,690358710.75
82, 8-1-2023,12:00:00 a 18:00:00,692741526.0
83, 8-1-2023,18:00:00 a 23:59:59,659765208.5
84, 9-1-2023,00:00:00 a 06:00:00,746954570.0
85, 9-1-2023,06:00:00 a 12:00:00,719848048.0
86, 9-1-2023,12:00:00 a 18:00:00,719848048.0
87, 9-1-2023,18:00:00 a 23:59:59,719848048.0
88, 10-1-2023,00:00:00 a 06:00:00,746954570.0
89, 10-1-2023,06:00:00 a 12:00:00,746954570.0
90, 10-1-2023,12:00:00 a 18:00:00,719848048.0
91, 10-1-2023,18:00:00 a 23:59:59,758333992.0
92, 12-1-2023,00:00:00 a 06:00:00,805411588.0
93, 12-1-2023,06:00:00 a 12:00:00,781872790.0
94, 12-1-2023,12:00:00 a 18:00:00,781872790.0
95, 12-1-2023,18:00:00 a 23:59:59,781872790.0
96, 13-1-2023,00:00:00 a 06:00:00,781872790.0
97, 13-1-2023,06:00:00 a 12:00:00,805411588.0
98, 13-1-2023,12:00:00 a 18:00:00,781872790.0
99, 13-1-2023,18:00:00 a 23:59:59,737147238.5
100, 14-1-2023,00:00:00 a 06:00:00,762631040.0
101, 14-1-2023,06:00:00 a 12:00:00,749889139.25
102, 14-1-2023,12:00:00 a 18:00:00,771752167.0
103, 14-1-2023,18:00:00 a 23:59:59,667892121.5
