,Data,Intervalo,Vazao
0, 12-12-2022,00:00:00 a 06:00:00,-1.0
1, 12-12-2022,06:00:00 a 12:00:00,-1.0
2, 12-12-2022,12:00:00 a 18:00:00,913522060.0
3, 12-12-2022,18:00:00 a 23:59:59,484181435.5
4, 13-12-2022,00:00:00 a 06:00:00,924689149.0
5, 13-12-2022,06:00:00 a 12:00:00,817734200.0
6, 13-12-2022,12:00:00 a 18:00:00,861180151.3333334
7, 13-12-2022,18:00:00 a 23:59:59,839457175.6666667
8, 14-12-2022,00:00:00 a 06:00:00,903009689.0
9, 14-12-2022,06:00:00 a 12:00:00,839457175.6666667
10, 14-12-2022,12:00:00 a 18:00:00,770965987.0
11, 14-12-2022,18:00:00 a 23:59:59,927833818.0
12, 15-12-2022,00:00:00 a 06:00:00,901042864.0
13, 15-12-2022,06:00:00 a 12:00:00,726927147.0
14, 15-12-2022,12:00:00 a 18:00:00,748946567.0
15, 15-12-2022,18:00:00 a 23:59:59,591397898.0
16, 16-12-2022,00:00:00 a 06:00:00,911684722.0
17, 16-12-2022,06:00:00 a 12:00:00,803630173.0
18, 16-12-2022,12:00:00 a 18:00:00,776263235.0
19, 16-12-2022,18:00:00 a 23:59:59,479383549.0
20, 17-12-2022,00:00:00 a 06:00:00,601736168.0
21, 17-12-2022,06:00:00 a 12:00:00,686113195.5
22, 17-12-2022,12:00:00 a 18:00:00,514120205.0
23, 17-12-2022,18:00:00 a 23:59:59,639894335.0
24, 18-12-2022,00:00:00 a 06:00:00,934833542.0
25, 18-12-2022,06:00:00 a 12:00:00,722129362.5
26, 18-12-2022,12:00:00 a 18:00:00,663003765.25
27, 18-12-2022,18:00:00 a 23:59:59,809004924.5
28, 19-12-2022,00:00:00 a 06:00:00,932293303.0
29, 19-12-2022,06:00:00 a 12:00:00,824861939.0
30, 19-12-2022,12:00:00 a 18:00:00,869452337.5
31, 19-12-2022,18:00:00 a 23:59:59,824392512.0
32, 20-12-2022,00:00:00 a 06:00:00,890684081.5
33, 20-12-2022,06:00:00 a 12:00:00,887516626.0
