,Data,Intervalo,Vazao
92, 12-1-2023,00:00:00 a 06:00:00,919811281.0
93, 12-1-2023,06:00:00 a 12:00:00,914438294.0
94, 12-1-2023,12:00:00 a 18:00:00,458363382.5
95, 12-1-2023,18:00:00 a 23:59:59,777518559.0
96, 13-1-2023,00:00:00 a 06:00:00,917629581.0
97, 13-1-2023,06:00:00 a 12:00:00,588232952.1666666
98, 13-1-2023,12:00:00 a 18:00:00,896476644.0
99, 13-1-2023,18:00:00 a 23:59:59,909620854.3333334
100, 14-1-2023,00:00:00 a 06:00:00,918030720.0
101, 14-1-2023,06:00:00 a 12:00:00,606959632.888889
102, 14-1-2023,12:00:00 a 18:00:00,916507944.0
103, 14-1-2023,18:00:00 a 23:59:59,919235023.0
104, 15-1-2023,00:00:00 a 06:00:00,610565756.5555556
105, 15-1-2023,06:00:00 a 12:00:00,458962280.6666667
106, 15-1-2023,12:00:00 a 18:00:00,915198917.0
107, 15-1-2023,18:00:00 a 23:59:59,921700306.5
108, 16-1-2023,00:00:00 a 06:00:00,922593007.0
109, 16-1-2023,06:00:00 a 12:00:00,459915371.25
110, 16-1-2023,12:00:00 a 18:00:00,921226997.0
111, 16-1-2023,18:00:00 a 23:59:59,613453204.25
112, 17-1-2023,00:00:00 a 06:00:00,919110242.5
113, 17-1-2023,06:00:00 a 12:00:00,913148939.0
114, 17-1-2023,12:00:00 a 18:00:00,920233932.0
115, 17-1-2023,18:00:00 a 23:59:59,612286684.75
116, 18-1-2023,00:00:00 a 06:00:00,458748851.75
117, 18-1-2023,06:00:00 a 12:00:00,458748851.75
118, 18-1-2023,12:00:00 a 18:00:00,922487457.0
119, 18-1-2023,18:00:00 a 23:59:59,919471435.5
120, 19-1-2023,00:00:00 a 06:00:00,924003045.0
121, 19-1-2023,06:00:00 a 12:00:00,460993655.75
122, 19-1-2023,12:00:00 a 18:00:00,915248371.0
123, 19-1-2023,18:00:00 a 23:59:59,916117646.0
124, 20-1-2023,00:00:00 a 06:00:00,916767088.0
125, 20-1-2023,06:00:00 a 12:00:00,913049241.0
126, 20-1-2023,12:00:00 a 18:00:00,914778754.0
127, 20-1-2023,18:00:00 a 23:59:59,762660183.1666666
128, 21-1-2023,00:00:00 a 06:00:00,918708851.0
129, 21-1-2023,06:00:00 a 12:00:00,610550655.3333334
130, 21-1-2023,12:00:00 a 18:00:00,920808349.0
131, 21-1-2023,18:00:00 a 23:59:59,917267432.0
132, 22-1-2023,00:00:00 a 06:00:00,459464104.8333333
133, 22-1-2023,06:00:00 a 12:00:00,459464104.8333333
134, 22-1-2023,12:00:00 a 18:00:00,917506431.0
135, 22-1-2023,18:00:00 a 23:59:59,915774765.0
136, 23-1-2023,00:00:00 a 06:00:00,918816144.0
137, 23-1-2023,06:00:00 a 12:00:00,902772725.0
138, 23-1-2023,12:00:00 a 18:00:00,916926778.0
139, 23-1-2023,18:00:00 a 23:59:59,918450749.0
140, 24-1-2023,00:00:00 a 06:00:00,762123526.6666666
141, 24-1-2023,06:00:00 a 12:00:00,917922420.0
142, 24-1-2023,12:00:00 a 18:00:00,892964821.0
143, 24-1-2023,18:00:00 a 23:59:59,918240206.0
144, 25-1-2023,00:00:00 a 06:00:00,919079988.0
145, 25-1-2023,06:00:00 a 12:00:00,910949990.0
146, 25-1-2023,12:00:00 a 18:00:00,759859570.6666666
147, 25-1-2023,18:00:00 a 23:59:59,913782240.0
148, 26-1-2023,00:00:00 a 06:00:00,917452488.0
149, 26-1-2023,06:00:00 a 12:00:00,907704398.0
150, 26-1-2023,12:00:00 a 18:00:00,608314852.3333334
151, 26-1-2023,18:00:00 a 23:59:59,542091010.0
152, 27-1-2023,00:00:00 a 06:00:00,546838355.6666666
153, 27-1-2023,06:00:00 a 12:00:00,901777028.0
154, 27-1-2023,12:00:00 a 18:00:00,761426888.0
155, 27-1-2023,18:00:00 a 23:59:59,367549153.8333333
156, 28-1-2023,00:00:00 a 06:00:00,918293278.0
157, 28-1-2023,06:00:00 a 12:00:00,430249531.8333333
158, 28-1-2023,12:00:00 a 18:00:00,918685209.5
159, 28-1-2023,18:00:00 a 23:59:59,919920784.0
