,Data,Intervalo,Vazao
0, 12-12-2022,00:00:00 a 06:00:00,
1, 12-12-2022,06:00:00 a 12:00:00,
2, 12-12-2022,12:00:00 a 18:00:00,
3, 12-12-2022,18:00:00 a 23:59:59,928568937.0
4, 13-12-2022,00:00:00 a 06:00:00,862089089.0
5, 13-12-2022,06:00:00 a 12:00:00,914356991.0
6, 13-12-2022,12:00:00 a 18:00:00,769707828.0
7, 13-12-2022,18:00:00 a 23:59:59,918029614.5
8, 14-12-2022,00:00:00 a 06:00:00,910845041.0
9, 14-12-2022,06:00:00 a 12:00:00,912004721.0
10, 14-12-2022,12:00:00 a 18:00:00,906757229.0
11, 14-12-2022,18:00:00 a 23:59:59,913021496.5
12, 15-12-2022,00:00:00 a 06:00:00,905973514.0
13, 15-12-2022,06:00:00 a 12:00:00,758100333.4166666
14, 15-12-2022,12:00:00 a 18:00:00,780083434.0
15, 15-12-2022,18:00:00 a 23:59:59,893807160.0
16, 16-12-2022,00:00:00 a 06:00:00,852701278.0
17, 16-12-2022,06:00:00 a 12:00:00,869304842.0
18, 16-12-2022,12:00:00 a 18:00:00,927416660.0
19, 16-12-2022,18:00:00 a 23:59:59,926785102.0
20, 17-12-2022,00:00:00 a 06:00:00,913678387.0
21, 17-12-2022,06:00:00 a 12:00:00,906082223.0
22, 17-12-2022,12:00:00 a 18:00:00,826601553.0
23, 17-12-2022,18:00:00 a 23:59:59,928098051.0
24, 18-12-2022,00:00:00 a 06:00:00,908013800.5
25, 18-12-2022,06:00:00 a 12:00:00,899889003.0
26, 18-12-2022,12:00:00 a 18:00:00,916194196.0
27, 18-12-2022,18:00:00 a 23:59:59,746466100.4166666
28, 19-12-2022,00:00:00 a 06:00:00,904058024.5
29, 19-12-2022,06:00:00 a 12:00:00,922906242.0
30, 19-12-2022,12:00:00 a 18:00:00,913981673.0
31, 19-12-2022,18:00:00 a 23:59:59,915249353.0
32, 20-12-2022,00:00:00 a 06:00:00,923277677.0
33, 20-12-2022,06:00:00 a 12:00:00,908380026.0
34, 20-12-2022,12:00:00 a 18:00:00,908356192.0
35, 20-12-2022,18:00:00 a 23:59:59,898000500.5
36, 21-12-2022,00:00:00 a 06:00:00,920178973.0
37, 21-12-2022,06:00:00 a 12:00:00,940308083.0
38, 21-12-2022,12:00:00 a 18:00:00,916666605.0
39, 21-12-2022,18:00:00 a 23:59:59,921125870.0
40, 22-12-2022,00:00:00 a 06:00:00,920830544.0
41, 22-12-2022,06:00:00 a 12:00:00,929405616.0
42, 22-12-2022,12:00:00 a 18:00:00,916824442.0
43, 22-12-2022,18:00:00 a 23:59:59,923299251.0
44, 23-12-2022,00:00:00 a 06:00:00,916509869.0
45, 23-12-2022,06:00:00 a 12:00:00,916773548.5
46, 23-12-2022,12:00:00 a 18:00:00,917243644.0
47, 23-12-2022,18:00:00 a 23:59:59,927937006.0
48, 24-12-2022,00:00:00 a 06:00:00,894410656.0
49, 24-12-2022,06:00:00 a 12:00:00,924429870.0
50, 24-12-2022,12:00:00 a 18:00:00,920992334.5
51, 24-12-2022,18:00:00 a 23:59:59,906835617.5
52, 25-12-2022,00:00:00 a 06:00:00,927372299.0
53, 25-12-2022,06:00:00 a 12:00:00,927258030.5
54, 25-12-2022,12:00:00 a 18:00:00,923324381.0
55, 25-12-2022,18:00:00 a 23:59:59,929040101.0
56, 26-12-2022,00:00:00 a 06:00:00,915483482.0
57, 26-12-2022,06:00:00 a 12:00:00,914011098.0
58, 26-12-2022,12:00:00 a 18:00:00,921986336.0
59, 26-12-2022,18:00:00 a 23:59:59,926812730.0
60, 27-12-2022,00:00:00 a 06:00:00,917661240.0
61, 27-12-2022,06:00:00 a 12:00:00,922121345.5
62, 27-12-2022,12:00:00 a 18:00:00,767098791.4166666
63, 27-12-2022,18:00:00 a 23:59:59,924507100.0
64, 28-12-2022,00:00:00 a 06:00:00,928882396.0
65, 28-12-2022,06:00:00 a 12:00:00,916976869.0
66, 28-12-2022,12:00:00 a 18:00:00,913704944.0
67, 28-12-2022,18:00:00 a 23:59:59,925631713.0
68, 29-12-2022,00:00:00 a 06:00:00,922538989.5
69, 29-12-2022,06:00:00 a 12:00:00,899076624.0
70, 29-12-2022,12:00:00 a 18:00:00,928616305.0
71, 29-12-2022,18:00:00 a 23:59:59,928460875.5
72, 30-12-2022,00:00:00 a 06:00:00,913939435.0
73, 30-12-2022,06:00:00 a 12:00:00,874146408.0
74, 30-12-2022,12:00:00 a 18:00:00,914359689.0
75, 30-12-2022,18:00:00 a 23:59:59,901774142.0
76, 31-12-2022,00:00:00 a 06:00:00,908004232.5
77, 31-12-2022,06:00:00 a 12:00:00,920134687.0
78, 31-12-2022,12:00:00 a 18:00:00,924532255.0
79, 31-12-2022,18:00:00 a 23:59:59,925418944.0
80, 1-1-2023,00:00:00 a 06:00:00,917769975.0
81, 1-1-2023,06:00:00 a 12:00:00,855220501.5
82, 1-1-2023,12:00:00 a 18:00:00,928725667.0
83, 1-1-2023,18:00:00 a 23:59:59,883980000.0
84, 2-1-2023,00:00:00 a 06:00:00,918186584.0
85, 2-1-2023,06:00:00 a 12:00:00,928823744.0
86, 2-1-2023,12:00:00 a 18:00:00,921594359.5
87, 2-1-2023,18:00:00 a 23:59:59,916567110.0
88, 3-1-2023,00:00:00 a 06:00:00,882537211.0
89, 3-1-2023,06:00:00 a 12:00:00,911341779.0
90, 3-1-2023,12:00:00 a 18:00:00,917348594.0
91, 3-1-2023,18:00:00 a 23:59:59,915984452.0
92, 4-1-2023,00:00:00 a 06:00:00,899837519.0
93, 4-1-2023,06:00:00 a 12:00:00,920301299.5
94, 4-1-2023,12:00:00 a 18:00:00,894702437.0
95, 4-1-2023,18:00:00 a 23:59:59,927672914.0
96, 5-1-2023,00:00:00 a 06:00:00,874985343.5
97, 5-1-2023,06:00:00 a 12:00:00,836739718.5
98, 5-1-2023,12:00:00 a 18:00:00,742400285.25
99, 5-1-2023,18:00:00 a 23:59:59,915460558.0
100, 6-1-2023,00:00:00 a 06:00:00,766668374.0
101, 6-1-2023,06:00:00 a 12:00:00,926005892.0
102, 6-1-2023,12:00:00 a 18:00:00,908486285.5
103, 6-1-2023,18:00:00 a 23:59:59,586103517.9166666
